sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_b,julgm2_b,suspm2_b,cumprimento_meta2b,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,01,2,3,1,0,0,150,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,02,2,5,3,0,0,250,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,03,0,2,1,0,0,Inf,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,01,,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,02,1,2,1,0,1,100,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,03,12,12,0,0,0,100,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
STM,Conhecimento criminal,Justiça Militar da União,G1,AM,MANAUS,32711,AUDITORIA DA 12ª CJM,02,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
