sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_b,julgm2_b,suspm2_b,cumprimento_meta2b,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,03,1,1,0,0,0,100,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,01,,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,02,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,02,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,02,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
TJMSP,Conhecimento criminal,Justiça Militar Estadual,G1,SP,SAO PAULO,15661,1AUDITORIA MILITAR,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
