sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ARAPIRACA,16210,22ª ZONA ELEITORAL - ARAPIRACA,02,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ARAPIRACA,16210,22ª ZONA ELEITORAL - ARAPIRACA,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ARAPIRACA,16210,22ª ZONA ELEITORAL - ARAPIRACA,10,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ARAPIRACA,16243,55ª ZONA ELEITORAL - ARAPIRACA,03,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ARAPIRACA,16243,55ª ZONA ELEITORAL - ARAPIRACA,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ATALAIA,16194,6ª ZONA ELEITORAL - ATALAIA,03,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ATALAIA,16194,6ª ZONA ELEITORAL - ATALAIA,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ATALAIA,16194,6ª ZONA ELEITORAL - ATALAIA,09,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ATALAIA,16194,6ª ZONA ELEITORAL - ATALAIA,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,ATALAIA,16194,6ª ZONA ELEITORAL - ATALAIA,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BATALHA,16217,29ª ZONA ELEITORAL - BATALHA,02,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BATALHA,16217,29ª ZONA ELEITORAL - BATALHA,03,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BATALHA,16217,29ª ZONA ELEITORAL - BATALHA,12,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BOCA DA MATA,16236,48ª ZONA ELEITORAL - BOCA DA MATA,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BOCA DA MATA,16236,48ª ZONA ELEITORAL - BOCA DA MATA,04,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BOCA DA MATA,16236,48ª ZONA ELEITORAL - BOCA DA MATA,05,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BOCA DA MATA,16236,48ª ZONA ELEITORAL - BOCA DA MATA,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BOCA DA MATA,16236,48ª ZONA ELEITORAL - BOCA DA MATA,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AL,Conhecimento criminal,Justiça Eleitoral,G1,AL,BOCA DA MATA,16236,48ª ZONA ELEITORAL - BOCA DA MATA,09,,0,0,0,0,0,,,,,,,,,,,,,,,,,
