sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,01,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,09,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,AMAPÁ,51250,1ª ZONA ELEITORAL - AMAPÁ- AP,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,LARANJAL DO JARI,51256,7ª ZONA ELEITORAL - LARANJAL DO JARI- AP,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,LARANJAL DO JARI,51256,7ª ZONA ELEITORAL - LARANJAL DO JARI- AP,06,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,LARANJAL DO JARI,51256,7ª ZONA ELEITORAL - LARANJAL DO JARI- AP,10,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,LARANJAL DO JARI,51256,7ª ZONA ELEITORAL - LARANJAL DO JARI- AP,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,LARANJAL DO JARI,51256,7ª ZONA ELEITORAL - LARANJAL DO JARI- AP,11,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,LARANJAL DO JARI,51256,7ª ZONA ELEITORAL - LARANJAL DO JARI- AP,11,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,LARANJAL DO JARI,51256,7ª ZONA ELEITORAL - LARANJAL DO JARI- AP,11,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,01,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,01,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,02,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,02,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,03,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,03,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,03,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,03,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,04,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,04,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,05,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,05,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,05,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,06,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento criminal,Justiça Eleitoral,G1,AP,MACAPA,51251,2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
