sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,02,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,05,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,08,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,08,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,09,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,09,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,10,03,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,10,04,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,10,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,11,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ALAGOINHAS,30637,163º CARTÓRIO ELEITORAL,11,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,03,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,10,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,AMARGOSA,16665,36º CARTÓRIO ELEITORAL,12,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ANAGE,16859,161º CARTÓRIO ELEITORAL,07,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ANAGE,16859,161º CARTÓRIO ELEITORAL,09,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ANDARAI,30618,119º CARTÓRIO ELEITORAL,04,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ANDARAI,30618,119º CARTÓRIO ELEITORAL,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ANDARAI,30618,119º CARTÓRIO ELEITORAL,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ANDARAI,30618,119º CARTÓRIO ELEITORAL,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ANDARAI,30618,119º CARTÓRIO ELEITORAL,11,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,03,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,ARACI,16838,123º CARTÓRIO ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BAIANÓPOLIS,30622,126º CARTÓRIO ELEITORAL,11,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DA ESTIVA,16862,169º CARTÓRIO ELEITORAL,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DA ESTIVA,16862,169º CARTÓRIO ELEITORAL,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DA ESTIVA,16862,169º CARTÓRIO ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DA ESTIVA,16862,169º CARTÓRIO ELEITORAL,11,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DO CHOCA,30626,139º CARTÓRIO ELEITORAL,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DO CHOCA,30626,139º CARTÓRIO ELEITORAL,04,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DO CHOCA,30626,139º CARTÓRIO ELEITORAL,10,03,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DO CHOCA,30626,139º CARTÓRIO ELEITORAL,10,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DO CHOCA,30626,139º CARTÓRIO ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DO CHOCA,30626,139º CARTÓRIO ELEITORAL,11,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento criminal,Justiça Eleitoral,G1,BA,BARRA DO CHOCA,30626,139º CARTÓRIO ELEITORAL,11,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
