sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,01,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,04,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,04,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,07,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,08,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACARAÚ,33411,30ª ZONA ELEITORAL - ACARAÚ,09,02,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,09,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ACOPIARA,33441,60ª ZONA ELEITORAL - ACOPIARA,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,AIUABA,33487,101ª ZONA ELEITORAL - AIUABA,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,AIUABA,33487,101ª ZONA ELEITORAL - AIUABA,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,AIUABA,33487,101ª ZONA ELEITORAL - AIUABA,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ALTO SANTO,33468,86ª ZONA ELEITORAL - ALTO SANTO,03,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ALTO SANTO,33468,86ª ZONA ELEITORAL - ALTO SANTO,04,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ALTO SANTO,33468,86ª ZONA ELEITORAL - ALTO SANTO,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ALTO SANTO,33468,86ª ZONA ELEITORAL - ALTO SANTO,08,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ALTO SANTO,33468,86ª ZONA ELEITORAL - ALTO SANTO,11,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ALTO SANTO,33468,86ª ZONA ELEITORAL - ALTO SANTO,11,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,ALTO SANTO,33468,86ª ZONA ELEITORAL - ALTO SANTO,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,AMONTADA,33472,89ª ZONA ELEITORAL - AMONTADA,03,03,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,AMONTADA,33472,89ª ZONA ELEITORAL - AMONTADA,10,01,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-CE,Conhecimento criminal,Justiça Eleitoral,G1,CE,AMONTADA,33472,89ª ZONA ELEITORAL - AMONTADA,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
