sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,01,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,01,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,02,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,01,0,4,4,0,0,Inf,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,03,0,6,6,0,6,100,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,12,0,7,7,0,0,Inf,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,03,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,04,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,04,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,04,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,04,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,04,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,04,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,05,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,06,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,06,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,06,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,07,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-DF,Conhecimento criminal,Justiça Eleitoral,G1,DF,BRASÍLIA,14567,1ª ZONA ELEITORAL DO DISTRITO FEDERAL - ASA SUL,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,
