sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,01,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,01,03,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,01,12,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,01,,2,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,02,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-GO,Conhecimento criminal,Justiça Eleitoral,G1,GO,ACREÚNA,16160,128ª ZONA ELEITORAL-GOIÁS/ACREÚNA,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
