sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ALCÂNTARA,51413,52ª ZONA ELEITORAL,09,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ALCÂNTARA,51413,52ª ZONA ELEITORAL,09,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ALCÂNTARA,51413,52ª ZONA ELEITORAL,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ALCÂNTARA,51413,52ª ZONA ELEITORAL,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ALTO PARNAIBA,51366,11ª ZONA ELEITORAL,06,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,AMARANTE DO MARANHÃO,51464,99ª ZONA ELEITORAL,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,AMARANTE DO MARANHÃO,51464,99ª ZONA ELEITORAL,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,AMARANTE DO MARANHÃO,51464,99ª ZONA ELEITORAL,12,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ARAIOSES,51369,12ª ZONA ELEITORAL,05,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ARAME,51360,104ª ZONA ELEITORAL,10,12,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ARAME,51360,104ª ZONA ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ARAME,51360,104ª ZONA ELEITORAL,11,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ARARI,51385,27ª ZONA ELEITORAL,11,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MA,Conhecimento criminal,Justiça Eleitoral,G1,MA,ARARI,51385,27ª ZONA ELEITORAL,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
