sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABAETÉ,15667,1ª ZONA ELEITORAL - ABAETÉ,03,,6,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABAETÉ,15667,1ª ZONA ELEITORAL - ABAETÉ,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABAETÉ,15667,1ª ZONA ELEITORAL - ABAETÉ,08,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABRE CAMPO,15674,2ª ZONA ELEITORAL - ABRE CAMPO,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABRE CAMPO,15674,2ª ZONA ELEITORAL - ABRE CAMPO,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABRE CAMPO,15674,2ª ZONA ELEITORAL - ABRE CAMPO,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABRE CAMPO,15674,2ª ZONA ELEITORAL - ABRE CAMPO,11,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,ABRE CAMPO,15674,2ª ZONA ELEITORAL - ABRE CAMPO,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AGUAS FORMOSAS,15673,4ª ZONA ELEITORAL - ÀGUAS FORMOSAS,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AGUAS FORMOSAS,15673,4ª ZONA ELEITORAL - ÀGUAS FORMOSAS,09,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AGUAS FORMOSAS,15673,4ª ZONA ELEITORAL - ÀGUAS FORMOSAS,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AGUAS FORMOSAS,15673,4ª ZONA ELEITORAL - ÀGUAS FORMOSAS,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AIMORES,15675,5ª ZONA ELEITORAL - AIMORÉS,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AIMORES,15675,5ª ZONA ELEITORAL - AIMORÉS,03,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AIMORES,15675,5ª ZONA ELEITORAL - AIMORÉS,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MG,Conhecimento criminal,Justiça Eleitoral,G1,MG,AIMORES,15675,5ª ZONA ELEITORAL - AIMORÉS,04,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
