sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,02,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,03,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,03,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,04,02,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,04,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,04,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,09,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,10,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,11,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,11,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,12,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AMAMBAI,14512,1ª ZONA ELEITORAL - AMAMBAI-MS,12,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,01,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,04,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,08,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,09,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,12,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,12,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,ANASTÁCIO,14560,49ª ZONA ELEITORAL - ANASTÁCIO-MS,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,APARECIDA DO TABOADO,14535,24ª ZONA ELEITORAL - APARECIDA DO TABOADO-MS,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AQUIDAUANA,14521,10ª ZONA ELEITORAL - AQUIDAUANA-MS,01,02,1,1,0,0,0,100,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AQUIDAUANA,14521,10ª ZONA ELEITORAL - AQUIDAUANA-MS,10,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,AQUIDAUANA,14521,10ª ZONA ELEITORAL - AQUIDAUANA-MS,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,BANDEIRANTES,14545,34ª ZONA ELEITORAL - BANDEIRANTES-MS,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,BANDEIRANTES,14545,34ª ZONA ELEITORAL - BANDEIRANTES-MS,03,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MS,Conhecimento criminal,Justiça Eleitoral,G1,MS,BANDEIRANTES,14545,34ª ZONA ELEITORAL - BANDEIRANTES-MS,03,,0,0,0,0,0,,,,,,,,,,,,,,,,,
