sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),01,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),02,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),02,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),02,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),02,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),03,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),04,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),07,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),11,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),11,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),11,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTA FLORESTA,16350,24ª ZONA ELEITORAL (ALTA FLORESTA - MT),12,02,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTO ARAGUAIA,16334,8ª ZONA ELEITORAL (ALTO ARAGUAIA - MT),01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTO ARAGUAIA,16334,8ª ZONA ELEITORAL (ALTO ARAGUAIA - MT),01,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTO ARAGUAIA,16334,8ª ZONA ELEITORAL (ALTO ARAGUAIA - MT),02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTO ARAGUAIA,16334,8ª ZONA ELEITORAL (ALTO ARAGUAIA - MT),03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-MT,Conhecimento criminal,Justiça Eleitoral,G1,MT,ALTO ARAGUAIA,16334,8ª ZONA ELEITORAL (ALTO ARAGUAIA - MT),03,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
