sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ABAETETUBA,30450,7º Cartório Eleitoral,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ABAETETUBA,30450,7º Cartório Eleitoral,03,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ABAETETUBA,30450,7º Cartório Eleitoral,04,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ABAETETUBA,30450,7º Cartório Eleitoral,09,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ABAETETUBA,30450,7º Cartório Eleitoral,10,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ABAETETUBA,30450,7º Cartório Eleitoral,11,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ABAETETUBA,30450,7º Cartório Eleitoral,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ACARÁ,30537,94º Cartório Eleitoral,04,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ACARÁ,30537,94º Cartório Eleitoral,04,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ACARÁ,30537,94º Cartório Eleitoral,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ACARÁ,30537,94º Cartório Eleitoral,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ACARÁ,30537,94º Cartório Eleitoral,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ACARÁ,30537,94º Cartório Eleitoral,12,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,AFUÁ,30459,16º Cartório Eleitoral,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,02,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,09,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,11,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,11,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALENQUER,30464,21º Cartório Eleitoral,12,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PA,Conhecimento criminal,Justiça Eleitoral,G1,PA,ALMEIRIM,30498,55º Cartório Eleitoral,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
