sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,07,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,11,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,11,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,11,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,11,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,08,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,09,03,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,10,02,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,10,03,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,02,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,03,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,03,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,04,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,04,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,04,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,04,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,04,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,05,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,05,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,06,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,09,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,10,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,11,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,11,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,11,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
