sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,ABREU E LIMA,28789,CARTÓRIO DA 119ª ZONA ELEITORAL,03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,ABREU E LIMA,28789,CARTÓRIO DA 119ª ZONA ELEITORAL,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,ABREU E LIMA,28789,CARTÓRIO DA 119ª ZONA ELEITORAL,05,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,ABREU E LIMA,28789,CARTÓRIO DA 119ª ZONA ELEITORAL,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,ABREU E LIMA,28789,CARTÓRIO DA 119ª ZONA ELEITORAL,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,ABREU E LIMA,28789,CARTÓRIO DA 119ª ZONA ELEITORAL,11,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFOGADOS DA INGAZEIRA,28881,CARTÓRIO DA 66ª ZONA ELEITORAL,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFOGADOS DA INGAZEIRA,28881,CARTÓRIO DA 66ª ZONA ELEITORAL,04,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFOGADOS DA INGAZEIRA,28881,CARTÓRIO DA 66ª ZONA ELEITORAL,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFOGADOS DA INGAZEIRA,28881,CARTÓRIO DA 66ª ZONA ELEITORAL,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFRÂNIO,28776,CARTÓRIO DA 107ª ZONA ELEITORAL,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFRÂNIO,28776,CARTÓRIO DA 107ª ZONA ELEITORAL,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFRÂNIO,28776,CARTÓRIO DA 107ª ZONA ELEITORAL,09,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AFRÂNIO,28776,CARTÓRIO DA 107ª ZONA ELEITORAL,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PE,Conhecimento criminal,Justiça Eleitoral,G1,PE,AGRESTINA,28903,CARTÓRIO DA 86ª ZONA ELEITORAL,01,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
