sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14445,32ª Zona Eleitoral do Piauí,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,01,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,01,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,02,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,02,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,03,,2,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,04,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,11,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,ALTOS,14460,47ª Zona Eleitoral do Piauí,,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,AMARANTE,14420,8ª Zona Eleitoral do Piauí,12,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,AVELINO LOPES,14500,88ª Zona Eleitoral do Piauí,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,AVELINO LOPES,14500,88ª Zona Eleitoral do Piauí,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,AVELINO LOPES,14500,88ª Zona Eleitoral do Piauí,11,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,BARRAS,14418,6ª Zona Eleitoral do Piauí,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PI,Conhecimento criminal,Justiça Eleitoral,G1,PI,BARRAS,14418,6ª Zona Eleitoral do Piauí,08,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
