sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,02,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,08,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,08,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALMIRANTE TAMANDARÉ,15594,171ª zona eleitoral-Almirante Tamandaré,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PARANA,15527,87ª zona eleitoral-Alto Paraná,03,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PARANA,15527,87ª zona eleitoral-Alto Paraná,05,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PARANA,15527,87ª zona eleitoral-Alto Paraná,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PIQUIRI,15565,128ª zona eleitoral-Alto Piquiri,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PIQUIRI,15565,128ª zona eleitoral-Alto Piquiri,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PIQUIRI,15565,128ª zona eleitoral-Alto Piquiri,11,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PIQUIRI,15565,128ª zona eleitoral-Alto Piquiri,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTO PIQUIRI,15565,128ª zona eleitoral-Alto Piquiri,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTONIA,15560,123ª zona eleitoral-Altônia,10,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTONIA,15560,123ª zona eleitoral-Altônia,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ALTONIA,15560,123ª zona eleitoral-Altônia,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ANDIRA,15504,57ª zona eleitoral-Andirá,09,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ANDIRA,15504,57ª zona eleitoral-Andirá,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ANDIRA,15504,57ª zona eleitoral-Andirá,12,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ANTONINA,15459,6ª zona eleitoral-Antonina,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ANTONINA,15459,6ª zona eleitoral-Antonina,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ANTONINA,15459,6ª zona eleitoral-Antonina,05,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
