sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ACARI,43745,22ª ZONA ELEITORAL,04,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ACARI,43745,22ª ZONA ELEITORAL,08,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ACARI,43745,22ª ZONA ELEITORAL,10,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ACARI,43745,22ª ZONA ELEITORAL,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ACARI,43745,22ª ZONA ELEITORAL,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ALEXANDRIA,43764,41ª ZONA ELEITORAL,02,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ALEXANDRIA,43764,41ª ZONA ELEITORAL,07,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ALEXANDRIA,43764,41ª ZONA ELEITORAL,09,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ALEXANDRIA,43764,41ª ZONA ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ALEXANDRIA,43764,41ª ZONA ELEITORAL,11,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,02,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,03,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,05,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,05,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,08,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RN,Conhecimento criminal,Justiça Eleitoral,G1,RN,ANGICOS,43741,18ª ZONA ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
