sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALTA FLORESTA D OESTE,15617,17ª ZONA ELEITORAL,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALTA FLORESTA D OESTE,15617,17ª ZONA ELEITORAL,11,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALTA FLORESTA D OESTE,15617,17ª ZONA ELEITORAL,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALTA FLORESTA D OESTE,15617,17ª ZONA ELEITORAL,12,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,03,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,08,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,09,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ALVORADA D OESTE,15618,18ª ZONA ELEITORAL,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,01,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,04,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,08,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,08,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,09,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RO,Conhecimento criminal,Justiça Eleitoral,G1,RO,ARIQUEMES,15607,7ª ZONA ELEITORA,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
