sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,03,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,04,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,04,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,05,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,05,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,06,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,07,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,07,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,07,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,08,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,08,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,08,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,08,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,09,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,09,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,12,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,12,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,ALTO ALEGRE,67982,3ª ZONA ELEITORAL,,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,BOA VISTA,67980,1ª ZONA ELEITORAL,01,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-RR,Conhecimento criminal,Justiça Eleitoral,G1,RR,BOA VISTA,67980,1ª ZONA ELEITORAL,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
