sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,mes_senth,IC22_23,IC2025,cumprimento_meta3,quant_sent22_23,quant_conc22_23,quant_sent25,quant_conc25
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,01,5,5,5,0,0,100,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,02,13,13,13,0,0,100,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,03,22,22,22,0,0,100,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,04,9,9,9,0,0,100,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,05,1,1,1,0,0,100,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT13,Conhecimento não criminal,Justiça do Trabalho,G1,PB,CAMPINA GRANDE,19518,1ª VARA DO TRABALHO DE CAMPINA GRANDE,01,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
